Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,592,undirected
ABronte_Agnes,Austen_Emma,21,undirected
ABronte_Agnes,CBronte_Jane,81,undirected
ABronte_Agnes,CBronte_Professor,2,undirected
ABronte_Agnes,CBronte_Villette,144,undirected
ABronte_Agnes,Dickens_David,32,undirected
ABronte_Agnes,EBronte_Wuthering,40,undirected
ABronte_Agnes,Eliot_Mill,9,undirected
ABronte_Agnes,Richardson_Clarissa,100,undirected
ABronte_Agnes,Richardson_Pamela,124,undirected
ABronte_Tenant,ABronte_Agnes,592,undirected
ABronte_Tenant,CBronte_Jane,105,undirected
ABronte_Tenant,EBronte_Wuthering,275,undirected
ABronte_Tenant,Richardson_Clarissa,89,undirected
ABronte_Tenant,Richardson_Pamela,245,undirected
Austen_Emma,ABronte_Agnes,21,undirected
Austen_Emma,Austen_Pride,482,undirected
Austen_Emma,Austen_Sense,396,undirected
Austen_Emma,Eliot_Adam,1,undirected
Austen_Emma,Eliot_Middlemarch,4,undirected
Austen_Emma,Eliot_Mill,11,undirected
Austen_Emma,Fielding_Tom,3,undirected
Austen_Emma,Richardson_Clarissa,26,undirected
Austen_Emma,Trollope_Barchester,41,undirected
Austen_Emma,Trollope_Phineas,37,undirected
Austen_Emma,Trollope_Prime,9,undirected
Austen_Pride,Austen_Emma,482,undirected
Austen_Pride,Austen_Sense,594,undirected
Austen_Pride,Eliot_Middlemarch,10,undirected
Austen_Pride,Eliot_Mill,16,undirected
Austen_Pride,Fielding_Joseph,3,undirected
Austen_Pride,Fielding_Tom,70,undirected
Austen_Pride,Richardson_Clarissa,27,undirected
Austen_Pride,Trollope_Barchester,79,undirected
Austen_Pride,Trollope_Phineas,9,undirected
Austen_Pride,Trollope_Prime,6,undirected
Austen_Sense,Austen_Emma,396,undirected
Austen_Sense,Austen_Pride,594,undirected
Austen_Sense,Eliot_Middlemarch,2,undirected
Austen_Sense,Eliot_Mill,3,undirected
Austen_Sense,Fielding_Joseph,7,undirected
Austen_Sense,Fielding_Tom,143,undirected
Austen_Sense,Richardson_Clarissa,15,undirected
Austen_Sense,Richardson_Pamela,1,undirected
Austen_Sense,Trollope_Barchester,15,undirected
Austen_Sense,Trollope_Phineas,6,undirected
CBronte_Jane,ABronte_Agnes,81,undirected
CBronte_Jane,ABronte_Tenant,105,undirected
CBronte_Jane,CBronte_Professor,417,undirected
CBronte_Jane,CBronte_Villette,430,undirected
CBronte_Jane,Dickens_Bleak,75,undirected
CBronte_Jane,Dickens_David,100,undirected
CBronte_Jane,Dickens_Hard,10,undirected
CBronte_Jane,EBronte_Wuthering,297,undirected
CBronte_Jane,Eliot_Adam,1,undirected
CBronte_Jane,Richardson_Pamela,4,undirected
CBronte_Professor,ABronte_Agnes,2,undirected
CBronte_Professor,CBronte_Jane,417,undirected
CBronte_Professor,CBronte_Villette,571,undirected
CBronte_Professor,Dickens_Bleak,2,undirected
CBronte_Professor,Dickens_David,34,undirected
CBronte_Professor,Dickens_Hard,8,undirected
CBronte_Professor,EBronte_Wuthering,169,undirected
CBronte_Professor,Eliot_Adam,2,undirected
CBronte_Professor,Eliot_Mill,2,undirected
CBronte_Professor,Fielding_Joseph,4,undirected
CBronte_Professor,Sterne_Sentimental,44,undirected
CBronte_Professor,Sterne_Tristram,2,undirected
CBronte_Professor,Thackeray_Barry,63,undirected
CBronte_Professor,Thackeray_Pendennis,1,undirected
CBronte_Villette,ABronte_Agnes,144,undirected
CBronte_Villette,CBronte_Jane,430,undirected
CBronte_Villette,CBronte_Professor,571,undirected
CBronte_Villette,Dickens_Bleak,2,undirected
CBronte_Villette,Dickens_David,71,undirected
CBronte_Villette,Dickens_Hard,20,undirected
CBronte_Villette,EBronte_Wuthering,63,undirected
CBronte_Villette,Eliot_Adam,41,undirected
CBronte_Villette,Eliot_Mill,33,undirected
CBronte_Villette,Sterne_Sentimental,48,undirected
CBronte_Villette,Sterne_Tristram,38,undirected
CBronte_Villette,Thackeray_Barry,5,undirected
CBronte_Villette,Thackeray_Pendennis,1,undirected
Dickens_Bleak,CBronte_Jane,75,undirected
Dickens_Bleak,CBronte_Professor,2,undirected
Dickens_Bleak,CBronte_Villette,2,undirected
Dickens_Bleak,Dickens_David,462,undirected
Dickens_Bleak,Dickens_Hard,554,undirected
Dickens_Bleak,EBronte_Wuthering,15,undirected
Dickens_Bleak,Eliot_Adam,1,undirected
Dickens_Bleak,Eliot_Mill,13,undirected
Dickens_Bleak,Sterne_Sentimental,5,undirected
Dickens_Bleak,Sterne_Tristram,17,undirected
Dickens_Bleak,Thackeray_Pendennis,49,undirected
Dickens_David,ABronte_Agnes,32,undirected
Dickens_David,CBronte_Jane,100,undirected
Dickens_David,CBronte_Professor,34,undirected
Dickens_David,CBronte_Villette,71,undirected
Dickens_David,Dickens_Bleak,462,undirected
Dickens_David,Dickens_Hard,373,undirected
Dickens_David,EBronte_Wuthering,4,undirected
Dickens_David,Eliot_Mill,95,undirected
Dickens_David,Richardson_Clarissa,1,undirected
Dickens_David,Sterne_Sentimental,18,undirected
Dickens_David,Thackeray_Barry,28,undirected
Dickens_Hard,CBronte_Jane,10,undirected
Dickens_Hard,CBronte_Professor,8,undirected
Dickens_Hard,CBronte_Villette,20,undirected
Dickens_Hard,Dickens_Bleak,554,undirected
Dickens_Hard,Dickens_David,373,undirected
Dickens_Hard,EBronte_Wuthering,23,undirected
Dickens_Hard,Eliot_Adam,126,undirected
Dickens_Hard,Eliot_Middlemarch,45,undirected
Dickens_Hard,Eliot_Mill,229,undirected
Dickens_Hard,Fielding_Joseph,30,undirected
Dickens_Hard,Fielding_Tom,35,undirected
Dickens_Hard,Sterne_Tristram,5,undirected
Dickens_Hard,Thackeray_Pendennis,28,undirected
Dickens_Hard,Thackeray_Vanity,9,undirected
EBronte_Wuthering,ABronte_Agnes,40,undirected
EBronte_Wuthering,ABronte_Tenant,275,undirected
EBronte_Wuthering,CBronte_Jane,297,undirected
EBronte_Wuthering,CBronte_Professor,169,undirected
EBronte_Wuthering,CBronte_Villette,63,undirected
EBronte_Wuthering,Dickens_Bleak,15,undirected
EBronte_Wuthering,Dickens_David,4,undirected
EBronte_Wuthering,Dickens_Hard,23,undirected
EBronte_Wuthering,Richardson_Pamela,12,undirected
EBronte_Wuthering,Thackeray_Pendennis,1,undirected
Eliot_Adam,Austen_Emma,1,undirected
Eliot_Adam,CBronte_Jane,1,undirected
Eliot_Adam,CBronte_Professor,2,undirected
Eliot_Adam,CBronte_Villette,41,undirected
Eliot_Adam,Dickens_Bleak,1,undirected
Eliot_Adam,Dickens_Hard,126,undirected
Eliot_Adam,Eliot_Middlemarch,172,undirected
Eliot_Adam,Eliot_Mill,580,undirected
Eliot_Adam,Fielding_Joseph,7,undirected
Eliot_Adam,Fielding_Tom,14,undirected
Eliot_Adam,Sterne_Sentimental,1,undirected
Eliot_Adam,Thackeray_Pendennis,1,undirected
Eliot_Adam,Trollope_Barchester,2,undirected
Eliot_Middlemarch,Austen_Emma,4,undirected
Eliot_Middlemarch,Austen_Pride,10,undirected
Eliot_Middlemarch,Austen_Sense,2,undirected
Eliot_Middlemarch,Dickens_Hard,45,undirected
Eliot_Middlemarch,Eliot_Adam,172,undirected
Eliot_Middlemarch,Eliot_Mill,473,undirected
Eliot_Middlemarch,Fielding_Joseph,274,undirected
Eliot_Middlemarch,Fielding_Tom,139,undirected
Eliot_Middlemarch,Thackeray_Pendennis,46,undirected
Eliot_Middlemarch,Thackeray_Vanity,1,undirected
Eliot_Middlemarch,Trollope_Barchester,198,undirected
Eliot_Middlemarch,Trollope_Phineas,116,undirected
Eliot_Middlemarch,Trollope_Prime,81,undirected
Eliot_Mill,ABronte_Agnes,9,undirected
Eliot_Mill,Austen_Emma,11,undirected
Eliot_Mill,Austen_Pride,16,undirected
Eliot_Mill,Austen_Sense,3,undirected
Eliot_Mill,CBronte_Professor,2,undirected
Eliot_Mill,CBronte_Villette,33,undirected
Eliot_Mill,Dickens_Bleak,13,undirected
Eliot_Mill,Dickens_David,95,undirected
Eliot_Mill,Dickens_Hard,229,undirected
Eliot_Mill,Eliot_Adam,580,undirected
Eliot_Mill,Eliot_Middlemarch,473,undirected
Eliot_Mill,Fielding_Joseph,25,undirected
Eliot_Mill,Richardson_Clarissa,1,undirected
Eliot_Mill,Thackeray_Vanity,87,undirected
Eliot_Mill,Trollope_Phineas,3,undirected
Eliot_Mill,Trollope_Prime,1,undirected
Fielding_Joseph,Austen_Pride,3,undirected
Fielding_Joseph,Austen_Sense,7,undirected
Fielding_Joseph,CBronte_Professor,4,undirected
Fielding_Joseph,Dickens_Hard,30,undirected
Fielding_Joseph,Eliot_Adam,7,undirected
Fielding_Joseph,Eliot_Middlemarch,274,undirected
Fielding_Joseph,Eliot_Mill,25,undirected
Fielding_Joseph,Fielding_Tom,578,undirected
Fielding_Joseph,Sterne_Tristram,98,undirected
Fielding_Joseph,Thackeray_Barry,1,undirected
Fielding_Joseph,Thackeray_Pendennis,85,undirected
Fielding_Joseph,Thackeray_Vanity,26,undirected
Fielding_Joseph,Trollope_Barchester,28,undirected
Fielding_Tom,Austen_Emma,3,undirected
Fielding_Tom,Austen_Pride,70,undirected
Fielding_Tom,Austen_Sense,143,undirected
Fielding_Tom,Dickens_Hard,35,undirected
Fielding_Tom,Eliot_Adam,14,undirected
Fielding_Tom,Eliot_Middlemarch,139,undirected
Fielding_Tom,Fielding_Joseph,578,undirected
Fielding_Tom,Richardson_Clarissa,47,undirected
Fielding_Tom,Sterne_Tristram,19,undirected
Fielding_Tom,Trollope_Barchester,18,undirected
Fielding_Tom,Trollope_Phineas,3,undirected
Fielding_Tom,Trollope_Prime,23,undirected
Richardson_Clarissa,ABronte_Agnes,100,undirected
Richardson_Clarissa,ABronte_Tenant,89,undirected
Richardson_Clarissa,Austen_Emma,26,undirected
Richardson_Clarissa,Austen_Pride,27,undirected
Richardson_Clarissa,Austen_Sense,15,undirected
Richardson_Clarissa,Dickens_David,1,undirected
Richardson_Clarissa,Eliot_Mill,1,undirected
Richardson_Clarissa,Fielding_Tom,47,undirected
Richardson_Clarissa,Richardson_Pamela,536,undirected
Richardson_Clarissa,Trollope_Phineas,15,undirected
Richardson_Clarissa,Trollope_Prime,8,undirected
Richardson_Pamela,ABronte_Agnes,124,undirected
Richardson_Pamela,ABronte_Tenant,245,undirected
Richardson_Pamela,Austen_Sense,1,undirected
Richardson_Pamela,CBronte_Jane,4,undirected
Richardson_Pamela,EBronte_Wuthering,12,undirected
Richardson_Pamela,Richardson_Clarissa,536,undirected
Sterne_Sentimental,CBronte_Professor,44,undirected
Sterne_Sentimental,CBronte_Villette,48,undirected
Sterne_Sentimental,Dickens_Bleak,5,undirected
Sterne_Sentimental,Dickens_David,18,undirected
Sterne_Sentimental,Eliot_Adam,1,undirected
Sterne_Sentimental,Sterne_Tristram,564,undirected
Sterne_Sentimental,Thackeray_Barry,281,undirected
Sterne_Sentimental,Thackeray_Pendennis,18,undirected
Sterne_Sentimental,Thackeray_Vanity,3,undirected
Sterne_Sentimental,Trollope_Barchester,2,undirected
Sterne_Tristram,CBronte_Professor,2,undirected
Sterne_Tristram,CBronte_Villette,38,undirected
Sterne_Tristram,Dickens_Bleak,17,undirected
Sterne_Tristram,Dickens_Hard,5,undirected
Sterne_Tristram,Fielding_Joseph,98,undirected
Sterne_Tristram,Fielding_Tom,19,undirected
Sterne_Tristram,Sterne_Sentimental,564,undirected
Sterne_Tristram,Thackeray_Barry,124,undirected
Sterne_Tristram,Thackeray_Pendennis,12,undirected
Sterne_Tristram,Thackeray_Vanity,5,undirected
Sterne_Tristram,Trollope_Barchester,4,undirected
Thackeray_Barry,CBronte_Professor,63,undirected
Thackeray_Barry,CBronte_Villette,5,undirected
Thackeray_Barry,Dickens_David,28,undirected
Thackeray_Barry,Fielding_Joseph,1,undirected
Thackeray_Barry,Sterne_Sentimental,281,undirected
Thackeray_Barry,Sterne_Tristram,124,undirected
Thackeray_Barry,Thackeray_Pendennis,325,undirected
Thackeray_Barry,Thackeray_Vanity,392,undirected
Thackeray_Pendennis,CBronte_Professor,1,undirected
Thackeray_Pendennis,CBronte_Villette,1,undirected
Thackeray_Pendennis,Dickens_Bleak,49,undirected
Thackeray_Pendennis,Dickens_Hard,28,undirected
Thackeray_Pendennis,EBronte_Wuthering,1,undirected
Thackeray_Pendennis,Eliot_Adam,1,undirected
Thackeray_Pendennis,Eliot_Middlemarch,46,undirected
Thackeray_Pendennis,Fielding_Joseph,85,undirected
Thackeray_Pendennis,Sterne_Sentimental,18,undirected
Thackeray_Pendennis,Sterne_Tristram,12,undirected
